id;price;name
В6399;450;Память SO-DIMM DDR3 1024Mb 1333MHz Patriot RTL
В7881;490;Память SO-DIMM DDR3 1024Mb 1333MHz Samsung
Д4305;264;Вентилятор S_775/1155/1156 Cooler Master A116 DP6-9GDSC-0L-GP (TDP 95-105W, Al, 2200 об/мин, 92x92x2
Д1371;730;Вентилятор S_775/1155/1156 Cooler Master Vortex 211P RR-V211-22FK-R1
Д4754;284;Вентилятор S_775/939/754/AM2/AM3/1155 Floston FCU-1PS
Г4412;1850;Жесткий диск  250 Gb Seagate ST250DM000 SATA-III 7200rpm 16Mb
A2339;2450;Жесткий диск IDE 160 GB WD WD1600AAJB (7200rpm) 8Mb
Д2087;1590;Жесткий диск для ноутбука (2,5,SATA)  250Gb Seagate ST250LT012 SATA-II 5400rpm 16Mb
В7782;890;Память DDR3 2048Mb 1600MHz Kingmax
Г3949;1390;Память DDR3 4096Mb 1333MHz
Д6095;1570;Память DDR3 4096Mb 1333MHz Crucial (CT51264BA1339) 1 RTL (PC3-10600) CL9 Unbuffered UDIMM 240pin
A9976;1390;Память DDR2 2048MB PC6400 800MHz Kingston
Г6643;790;Память SO-DIMM DDR3 2048M 1333MHz
Д3290;850;Память SO-DIMM DDR3 2048M 1333MHz Crucial
Г6668;890;Память SO-DIMM DDR3 2048M 1333MHz Hynix-1
Г6380;650;Вентилятор S_775/939/754/AM2/AM3/1366/1156 Cooler Master CPU Cooler Hyper H101  (TDP 70-95W, 2xCupr
Г6846;690;Вентилятор S_775/939/754/AM2/AM3/1366/1156 Cooler Master CPU Cooler Vortex 211Q (TDP 95W, 2xCuprum H
Г7132;1950;Жесткий диск  500 Gb Hitachi HDS721050DLE630/Toshiba DT01ACA050 SATA-3 7200rpm 32Mb
Г3768;2030;Жесткий диск  500 Gb Seagate ST500DM002 SATA-III 7200rpm 16Mb
Б5927;2290;Жесткий диск IDE 250 GB WD WD2500AAJB    7200rpm 8mb
A2325;2690;Жесткий диск IDE 320 Gb WD WD3200AAJB (7200rpm) 8Mb
Д4877;1590;Жесткий диск для ноутбука (2,5,SATA)  320Gb Seagate ST320LT012 (5400rpm) 16Mb 2.5
Д1504;1650;Жесткий диск для ноутбука (2,5,SATA)  500Gb Seagate ST500LT012 SATA 5400rpm 16Mb
Д4630;750;Привод DVD+/-RW ASUS DRW-24F1ST/BLK/B/AS SATA Black
Д6876;3330;Привод Blu-Ray Asus BD-W BW-16D1HT 
